5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
5.000000000000000278e-02,9.000000000000000222e-01
